Year,Види економічної діяльності,включаючи,Value
2018,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,
2019,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,27.0
2020,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,
2021,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,
2022,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,
2023,"Транспорт, складське господарство, поштова та кур’єрська діяльність",,
2015,Телекомунікації (електрозв’язок),,11.4
2016,Телекомунікації (електрозв’язок),,
2017,Телекомунікації (електрозв’язок),,10.7
2018,Телекомунікації (електрозв’язок),,
2019,Телекомунікації (електрозв’язок),,11.1
2020,Телекомунікації (електрозв’язок),,
2021,Телекомунікації (електрозв’язок),,
2022,Телекомунікації (електрозв’язок),,
2023,Телекомунікації (електрозв’язок),,
